ovp,eng
yotsi-weidü-ii pasohobü-neika ma-naka-wei ,This fly will hear this tree.
nüga-dü-ii wünü-weidoka u-gwana-wei ,This one who dances will smell that one who will stand.
pahabi-dü-ii hukaw̃ia-weideika ai-gwati-ti ,This one who swims is hitting these ones who will walk.
tünia-weidü-uu toni-neika ai-yadohi-ti ,That one who will read is talking to these wickiups.
tümui-dü-uu yadoha-deika a-naki-dü ,That one who writes is chasing this one who talks.
tsiipe'i-weidü-uu üwi-deika mai-dsibui-gaa-wei ,Those who will chirp are going to climb the ones who sleep.
maishibü-neika nüü a-zawa-ku ,I cooked the corn.
tüsüga-neika uhu mai-dama'i-pü ,He/She/It has found the weasels.
pasohobü-noka uhuw̃a u-nia-dü ,They read that tree.
kamü-noka mahu u-w̃ui-ti ,He/She/It is writing a jackrabbit.
tübinohi-weidoka mahuw̃a ui-nobini-pü ,They have visited those who will play.
katü-wei ihi ,This will sit.
üwi-ti ihiw̃a ,These are sleeping.
kwisha'i-dü taa ,You and I sneeze.
poyoha-ku nüügwa ,We ran.
mia-gaa-wei taagwa ,We are going to go.
hukaw̃ia-gaa-wei üü ,You are going to walk.
wünü-dü üügwa ,You all stand.
isha'-uu habi-pü ,The coyote has lain down.
isha'pugu-ii yadoha-dü ,The dog is talking.
kidi'-ii kwatsa'i-gaa-wei ,The cat is going to fall.
pugu-ii waakü-pü ,The horse has worked.
wai-uu wükihaa-ku ,That rice smiled.
tüba-uu hubiadu-dü ,Those pinenuts sing.
maishibü-ii nishua'i-ti ,The corn is laughing.
paya-ii tsiipa-noka u-dsibui-dü ,The water climbs that bird.
payahuupü-ii tübinohi-ku ,The river played.
katünu-uu yotsi-pü ,The chair has flown.
toyabi-uu nüga-gaa-wei ,That mountain is going to dance.
tuunapi-ii pahabi-ku ,The food swam.
pasohobü-ii tünia-ku ,The tree has read.
nobi-uu tümui-pü ,That house has been written.
toni-ii tsiipe'i-ti ,This wickiup is chirping.
apo-ii tübinohi-deika a-düka-wei ,This cup will eat the one who plays.
küna-uu yadoha-weidoka ui-buni-dü ,That wood sees those who will talk.
tübbi-ii kidi'-oka ui-hibi-ti ,This rock is drinking those cats.
tabuutsi'-uu nia-weidoka u-naka-pü ,That cottontail has heard that one who will read.
kamü-ii nishua'i-doka ui-gwana-ku ,The jackrabbit smelled those who are laughing.
aaponu'-uu tsibui-weidoka ui-gwati-ti ,The apple is hitting those who will climb.
tüsüga-ii ni-yadohi-dü ,This weasel is talking to us.
mukita-uu yadoha-doka u-naki-dü ,That lizard is chasing that one who talks.
wo'ada-uu nobi-neika a-dsibui-ku ,The mosquito climbed the house.
wükada-ii hubiadu-deika a-zawa-ku ,The bird snake cooked the one who sings.
wo'abi-ii toni-neika ma-dama'i-gaa-wei ,The worm is going to find the wickiup.
aingwü-ii koopi'-eika a-nia-ti ,The squirrel is reading the coffee.
tsiipa-ii poyoha-deika a-w̃ui-gaa-wei ,This bird is going to write the one who runs.
tüwoobü-uu naki-weideika ma-nobini-dü ,The earth visits the one who will chase.
koopi'-uu katü-pü ,That coffee has sat.
pahabichi-uu üwi-wei ,That bear will sleep.
pagwi-ii kwisha'i-gaa-wei ,The fish is going to sneeze.
kwadzi-ii poyoha-ti ,The tail is running.
tüka-dü-ii mia-ku ,The one who eats went.
puni-weidü-ii hukaw̃ia-ti ,The one who will see is walking.
hibi-weidü-ii wünü-ti ,The one who will drink is standing.
naka-dü-uu habi-pü ,That one who hears is lying down.
kwana-weidü-uu yadoha-dü ,That one who will smell talks.
kwati-weidü-uu kwatsa'i-dü ,That one who will hit falls.
yadohi-weidü-ii waakü-ti ,This one who will talk to is working.
naki-weidü-ii wükihaa-ti ,The one who will chase is smiling.
tsibui-dü-ii hubiadu-ku ,The one who climbs sang.
sawa-weidü-uu nishua'i-wei ,That cook will laugh.
tama'i-weidü-uu isha'-eika mai-dsibui-ku ,That one who will find climbed the coyotes.
nia-dü-uu tübinohi-wei ,That one who reads will play.
mui-weidü-ii yotsi-gaa-wei ,The one who will write is going to fly.
nobini-dü-ii nüga-wei ,The one who visits will dance.
katü-weidü-ii pahabi-wei ,The one who will sit will swim.
üwi-weidü-ii tünia-pü ,The one who will sleep has read.
kwisha'i-weidü-ii tümui-ti ,The one who will sneeze is writing.
poyoha-dü-uu tsiipe'i-pü ,That one who runs has chirped.
mia-weidü-uu tuunapi-neika ai-düka-gaa-wei ,That one who is going to go is going to eat these foods.
hukaw̃ia-weidü-uu naki-weideika mai-buni-gaa-wei ,That one who is going to walk is going to see those who are going to chase.
wünü-dü-ii toyabi-noka ui-hibi-ku ,The one who stands drank those mountains.
habi-weidü-ii toyabi-neika ma-naka-ku ,This one who will lie down heard the mountain.
yadoha-weidü-uu nobi-neika a-gwana-gaa-wei ,That one who will talk is going to smell this house.
kwatsa'i-dü-ii küna-neika a-gwati-ku ,The one who falls hit the wood.
waakü-weidü-ii koopi'-oka ui-yadohi-dü ,The one who will work talks to those coffees.
wükihaa-weidü-uu tüwoobü-neika a-naki-pü ,That future smile has chased this earth.
hubiadu-dü-ii tüsüga-neika ma-dsibui-pü ,The one who sings has climbed the weasel.
nishua'i-weidü-ii tübbi-neika ai-zawa-ti ,This one who will laugh is cooking these rocks.
tsibui-weidü-uu ta-dama'i-ku ,That one who will climb found us.
tübinohi-dü-uu tübinohi-weidoka u-nia-ti ,That one who is playing is reading that one who will play.
yotsi-weidü-uu pugu-neika ma-w̃ui-dü ,That fly that will writes this horse.
nüga-dü-ii aaponu'-oka u-nobini-gaa-wei ,This one who dances is going to visit that apple.
pahabi-dü-ii katü-pü ,The one who swims has sat.
tünia-dü-ii üwi-gaa-wei ,This one who reads is going to sleep.
tümui-dü-uu kwisha'i-gaa-wei ,That one who writes is going to sneeze.
tsiipe'i-dü-ii poyoha-gaa-wei ,This one who chirps is going to run.
mia-gaa-wei nüü ,I am going to go.
hukaw̃ia-ku uhu ,He/She/It walked.
wünü-wei uhuw̃a ,They will stand.
habi-dü mahu ,He/She/It lies down.
yadoha-gaa-wei mahuw̃a ,They are going to talk.
kwatsa'i-ku ihi ,This has fallen.
waakü-pü ihiw̃a ,These have worked.
wükihaa-ku taa ,You and I smiled.
hubiadu-pü nüügwa ,We have sung.
nishua'i-ti taagwa ,We are laughing.
wükada-neika üü ma-dsibui-ti ,You are climbing the bird snake.
tübinohi-gaa-wei üügwa ,You all are going to play.
isha'-uu yotsi-ku ,The coyote flew.
isha'pugu-ii nüga-ti ,The dog is dancing.
kidi'-uu pahabi-ti ,The cat is swimming.
pugu-uu tünia-ti ,That horse is reading.
wai-uu tümui-wei ,That rice will write.
tüba-uu tsiipe'i-ku ,Those pinenuts chirped.
maishibü-ii hubiadu-weidoka u-düka-wei ,Corn will eat that one who will sing.
paya-ii nobi-neika ma-buni-gaa-wei ,This water is going to see this house.
payahuupü-ii hubiadu-weideika mai-hibi-ti ,The river is drinking the songs.
katünu-uu tübbi-noka ui-naka-ti ,That chair is hearing those rocks.
toyabi-uu pahabi-weidoka ui-gwana-dü ,That mountain smells those who will swim.
tuunapi-ii yotsi-weidoka u-gwati-gaa-wei ,This food is going to hit that fly.
pasohobü-ii tuunapi-noka ui-yadohi-gaa-wei ,This tree is going to talk to those foods.
nobi-ii mui-weidoka ui-naki-gaa-wei ,This house is going to chase those who will write.
toni-ii kwisha'i-weideika mai-dsibui-wei ,This wickiup will climb the sneezes.
apo-ii mia-deika ma-zawa-wei ,This cup will cook the one who goes.
küna-uu payahuupü-noka u-dama'i-ku ,The wood found the river.
tübbi-ii nüga-weideika ai-nia-pü ,This rock has read the dances.
tabuutsi'-uu katü-doka ui-w̃ui-wei ,That cottontail will write those that are sitting.
kamü-uu kamü-neika mai-nobini-ti ,The jackrabbit is visiting the jackrabbits.
aaponu'-ii katü-ku ,The apple sat.
tüsüga-ii üwi-gaa-wei ,This weasel is going to sleep.
mukita-uu kwisha'i-gaa-wei ,That lizard is going to sneeze.
wo'ada-ii poyoha-gaa-wei ,The mosquito is going to run.
wükada-ii mia-gaa-wei ,This bird snake is going to go.
wo'abi-uu hukaw̃ia-wei ,That worm will walk.
aingwü-ii wünü-dü ,The squirrel is standing.
tsiipa-ii habi-ti ,The bird is lying down.
tüwoobü-ii yadoha-ti ,The earth is talking.
koopi'-uu kwatsa'i-wei ,That coffee will fall.
pahabichi-uu waakü-pü ,That bear has worked.
pagwi-ii wükihaa-ti ,The fish is smiling.
kwadzi-uu hubiadu-dü ,The tail sings.
tüka-weidü-ii nishua'i-gaa-wei ,The one who will eat is going to laugh.
puni-weidü-uu isha'pugu-noka ui-dsibui-dü ,Those who will see climb the dogs.
hibi-weidü-uu tübinohi-wei ,That one who will drink will play.
naka-weidü-uu yotsi-pü ,That one who will hear has flown.
kwana-dü-ii nüga-ti ,The one who smells is dancing.
kwati-weidü-ii pahabi-wei ,The one who will hit will swim.
yadohi-dü-uu tünia-ti ,That one who is talking to is reading.
naki-dü-ii tümui-dü ,The one who is chasing writes.
tsibui-weidü-ii tsiipe'i-dü ,The one who will climb chirps.
sawa-dü-ii yotsi-doka ui-düka-dü ,This cook eats those flies.
tama'i-weidü-ii mia-weideika ma-buni-gaa-wei ,This one who will find is going to see this one who will go.
nia-dü-ii wo'abi-noka ui-hibi-dü ,This one who reads drinks those worms.
mui-dü-uu hubiadu-deika ma-naka-gaa-wei ,That one who writes is going to hear this one who sings.
nobini-dü-ii isha'pugu-neika mai-gwana-ti ,This one who is visiting is smelling these dogs.
katü-weidü-ii yadoha-weideika ai-gwati-ku ,The one who will sit hit the ones who will talk.
üwi-dü-ii tama'i-deika mai-yadohi-gaa-wei ,This one who is sleeping is going to talk to these ones who are finding.
kwisha'i-weidü-uu küna-neika a-naki-dü ,That one who will sneeze is chasing this wood.
poyoha-weidü-uu tümui-weideika ai-dsibui-ti ,That one who will run is climbing these ones who will write.
mia-weidü-uu kwana-weideika mai-zawa-dü ,That one who will go cooks these ones who will smell.
hukaw̃ia-dü-ii kwatsa'i-deika mai-dama'i-dü ,The one who is walking finds the ones who are falling.
wünü-dü-ii katü-doka ui-nia-pü ,The one who is standing has read those who are sitting.
habi-dü-uu tüwoobü-noka ui-w̃ui-dü ,Those who lie down write the earth.
yadoha-weidü-ii wo'abi-neika ma-nobini-dü ,The one who will talk visits the worm.
kwatsa'i-weidü-uu katü-ku ,That one who will fall sat.
waakü-dü-ii üwi-ti ,The one who works is sleeping.
wükihaa-weidü-ii kwisha'i-gaa-wei ,The one who will smile is going to sneeze.
hubiadu-dü-uu poyoha-ku ,That one who sings ran.
nishua'i-weidü-ii mia-ti ,The one who will laugh is going.
tsibui-dü-ii hukaw̃ia-ti ,The one who climbs is walking.
tübinohi-weidü-ii wünü-wei ,The one who will play will stand.
yotsi-weidü-ii habi-pü ,The one who will fly has lied down.
nüga-weidü-uu yadoha-gaa-wei ,That one who will dance is going to talk.
pahabi-weidü-uu kwatsa'i-ti ,That one who will swim is falling.
tünia-weidü-uu waakü-wei ,That one who will read will work.
tümui-weidü-uu wükihaa-wei ,That one who will write will smile.
tsiipe'i-weidü-ii hubiadu-ku ,The one who will chirp sang.
